platform,artist,project,songTitle,bpm,key,genre,tags,locationCreated,originalReleaseDate,recordLabel,publisher,license,image,losslessAudio,duration,tokenID
Catalog,Dutchyyy,Dutchyyy,"""Just Be Yourself""",90,NaN,NaN,"['downtempo', 'electronic', 'relaxed']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiggtm5ridjhibax2osswmefkqlvwd7vib2yvfrs3rfxxjb46gjqwy,ipfs://bafybeica3edggljjdzgujdplxuva2aqfpkuj2yoyworg5b7tqlr5cq42nu,213.812,94
Catalog,Jon Waltz,Jon Waltz,IDOLS,140,NaN,NaN,['hip hop'],NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiexau6b27dgroflgjsfr4saomgf7t7chexia4fahh6xi3ri6cafdu,ipfs://bafybeibcpqbjvwr42rv7it76h7zlzggu5wcugccplnyyolm3nvr5aygdru,50.625,95
Catalog,Dutchyyy,Dutchyyy,"""The long cold hot take"" (f/ Dutchmassive)",nan,NaN,NaN,"['hip hop', 'alternative hip hop', 'relaxed', 'romantic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeid3ys3irwebqf4hyslu46o7425nd6idy3bst66i55npug445vrje4,ipfs://bafybeih7mtq6oqn54rvhn4su7rozbfuwfldf5fekvxthflzn6vnop6lutm,951.066,96
Catalog,IAMNOBODI,IAMNOBODI,Play Your Cards Right,109,NaN,NaN,['electronic'],NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiahjfzq3glz3vw4ctgxrr2e5rpg7lxz7cmiudgmj4wc4ttqq6fl3i,ipfs://bafybeidkvnwep5aw2mqpglmxzxg3fwrhjldtndtn3evladbooif2x3yqoq,167.4,98
Catalog,AbJo,AbJo,ogún.,95,NaN,NaN,"['electronic', 'powerful']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeiaa24fhpnxdybkiuoobme57nqtkaz6d7p5gqjjv52zoynjakhoezu,ipfs://bafybeibns4nu4iqlyme5az4mwqwcc4727onthneopym5t4zeoqupt72ifa,123.246,99
Catalog,XEDRA,XEDRA,INFOMASOCHIST,146,NaN,NaN,"['techno', 'electronic', 'energetic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeicyfdsf3ztqm5inkhn7dghnwlzzm737fa2dnahuncgzzv2k2v2w2i,ipfs://bafybeiecowj5kmbnpxkalqhfq32yrnqbvxgfu65hbi3vdselgq5aeo5dy4,180.898,100
Catalog,dot,dot,Dot x Tsu Nami - want u 2 stay,140,NaN,NaN,"['breakbeat', 'electronic', 'energetic']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeihlzysxj77rmzrc27rtank6rmveqmccb2akddhiem4sxh46sxp7iu,ipfs://bafybeidtixl45x4bj43rvhxd37kl3jvwar4ppb24cdejq5d26aiu55alhy,178.536,101
Catalog,oshi,oshi,INSIDE,88,NaN,NaN,"['hip hop', 'quirky']",NaN,NaN,NaN,NaN,NaN,ipfs://bafkreihe3bokrohaod5mnqyjik6n2l2p6ttk7wwwce4vq5yornoa7idfa4,ipfs://bafybeie2fwjqh5zwalwybywjlnwhssxiwzpswwfidfg7oohxvowfgwgdau,139.154,102
Catalog,DEEGAN,DEEGAN,I AM NOT YOUR FATHER,137,NaN,NaN,"['hip hop', 'quirky']",NaN,NaN,NaN,NaN,NaN,ipfs://bafybeidfcpytuy2g7kdthyi5zqee6figkowt36yvwyd2vnqoyoccko5hlu,ipfs://bafybeia24pslezmhfb3q4j25jeeafqubwjpy3rrglhznrspnv2o7khwe64,119.197,104
Catalog,Jamee Cornelia,Jamee Cornelia,Arby's Type Beat,150,NaN,NaN,"['electronic', 'dark']",NaN,NaN,NaN,NaN,NaN,ipfs://bafkreigx4i72gwrtqj6skocshdyskpfepipy3t7sfdgtgoavizrxmjhneu,ipfs://bafybeibzf4n3da4zsy5kcg6ab53zijvfk37gjrof3nmmdv3uoipkdl5h7u,247.066,105
